what,kind,bundleId,bundleVersion,description,time
started,bundle,org.jboss.ide.eclipse.as.core,2.0.2.v200910211631N-H194-GA,"org.jboss.ide.eclipse.as.core",1522651020881
started,bundle,org.jboss.ide.eclipse.as.ui,2.0.2.v200910211631N-H194-GA,"org.jboss.ide.eclipse.as.ui",1522651020882
started,bundle,org.jboss.tools.jmx.core,1.0.0.v200910211631N-H194-GA,"org.jboss.tools.jmx.core",1522651020882
started,bundle,org.jboss.tools.portlet.core,1.0.2.v200910211631N-H194-GA,"org.jboss.tools.portlet.core",1522651020882
started,bundle,org.jboss.tools.smooks.ui,1.0.0.v200910211631N-H194-GA,"org.jboss.tools.smooks.ui",1522651020882
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1522651020883
started,bundle,com.businessobjects.RCPRuntimeUtilities,12.2.214.r1733,"com.businessobjects.RCPRuntimeUtilities",1522651021520
started,bundle,com.businessobjects.crystalreports.designer.core,12.2.214.r1733,"com.businessobjects.crystalreports.designer.core",1522651021523
started,bundle,com.businessobjects.crystalreports.designer.editor,12.2.214.r1733,"com.businessobjects.crystalreports.designer.editor",1522651021539
started,bundle,com.businessobjects.crystalreports.designer.enginepreferences,12.2.214.r1733,"com.businessobjects.crystalreports.designer.enginepreferences",1522651021542
started,bundle,com.businessobjects.crystalreports.designer.reporteditlib,12.2.214.r1733,"com.businessobjects.crystalreports.designer.reporteditlib",1522651021557
started,bundle,com.businessobjects.crystalreports.designer.uibase,12.2.214.r1733,"com.businessobjects.crystalreports.designer.uibase",1522651021560
started,bundle,com.businessobjects.integration.eclipse.crystalreports.configure.projects,12.2.214.r1733,"com.businessobjects.integration.eclipse.crystalreports.configure.projects",1522651022571
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1522651022571
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1522651022571
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1522651022571
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1522651022571
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1522651022597
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.0.R200906100410,"org.eclipse.epp.usagedata.gathering",1522651022597
started,bundle,org.eclipse.epp.usagedata.recording,1.1.0.R200906100410,"org.eclipse.epp.usagedata.recording",1522651022598
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1522651022598
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1522651022599
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1522651022599
started,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1522651022600
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1522651022600
